S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
1.9326911576707921,-2.1641160066765934,-0.6138836387020845,2.2279233572261035,0.6999561719946428,0.7594175431865366,1.9684215562018572,-0.12254499146463615,1.610777996585778,0.15044550704617876
8.911768551982213,1.093718876882555,7.501299164371737,8.227041342626428,6.723956350405523,6.641613617103083,5.653305372545901,10.085408801311367,6.483660125548063,1.4675116645935873
-1.6506505353307528,-2.5620803320809227,-1.6345225396113268,-0.9861929306625665,-1.3014338362518583,-1.5429154251965738,-2.07045566424633,-1.2159600441575034,-1.461292384964226,-1.531086343658556
0.010159040753737969,0.08549241822782605,-0.3887400927839373,0.7920531076584041,-0.5174149253091471,-0.38376472331909284,-0.008696725646085923,0.62414561379925,0.4691347674223074,0.44983831214351966
-2.858995534027372,1.4768281279808733,-4.33715126590031,-3.1857312120048107,-4.278959409409495,-3.2366409962302285,-2.4870197812401855,-1.6927335779022954,-5.025715775505866,-0.7643434141077421
-1.4673277956987647,-1.9018275877278015,-2.156144136716911,0.20913364511763888,-1.9420780625272727,-2.0135202411305784,-0.21279496936027442,-0.6705350622846495,-1.043913574327803,-0.3112016717117001
3.7861223299765427,4.069854819344247,3.072786260581445,3.502522579036672,2.914773984036003,3.061128913462756,3.944255691128749,3.650187533363013,3.7780301877642195,4.229715127739581
-4.2080129046479335,-3.9140975917224345,-5.3380111152438765,-3.753275307541788,-5.214260833374443,-3.3354927064813005,-3.741718391185895,-2.798986820946862,-5.48566957030506,-3.0166698417356805
2.0044940265072455,-2.582149795809663,3.8431107578216057,2.2534718863547027,2.8159250851835296,3.172097768661562,2.876639464071353,2.023425432834422,1.7064910065773873,-3.632297141296526
0.41808805998135057,1.438354667654167,2.178551810854607,-0.011962538447043869,0.1679252765734276,-0.39459151465797504,-0.7498580834800777,-1.26158309512509,-0.7219866895276894,1.5386197112840634
0.24647790698313088,0.055492418227828466,-0.41874009278393487,-0.08863960149697903,-0.7307203198103629,-0.1820003662625247,0.35764246253564025,-0.24940351566912256,-0.08049527456987704,0.4198383121435221
0.46357446260569724,-1.7375476028552725,0.1320720656061951,0.05865846032802935,1.7052339556702645,1.216019730374132,-0.5356566807176364,-0.27733518838971705,-0.4724193610375522,-0.023155960564661626
0.03389857867212598,-1.8025906450011568,0.1383304472466378,-0.6600794550461977,1.6945980596183627,0.6441853182044515,-0.9775626340823713,-0.8572953229338811,-0.4574794248606633,-0.7687762662061708
2.3997138100601276,4.294980118096788,4.055719474295337,4.4773649098524615,3.951468628157194,3.5277533701527943,4.404631914375745,2.9044418436142294,4.704683484212552,4.362741994875684
-5.237275674216075,1.7988443686855398,-4.3802757259051255,-3.9536342540120906,-4.510498502870131,-4.339537397759312,-5.009773106511322,-4.255150878997217,-4.992244472490459,-2.516769613892656
0.32038099126454966,-1.0220803320809217,-0.09452253961132584,0.5042813522614225,1.05954226326247,0.8617459989440572,-0.09613788867064699,0.18593442254741532,-0.05260928399561138,0.00891365634144492
-0.675616115135103,-1.4621992868514475,-0.45590923346536094,-0.4810231745018214,0.4461197628566804,-0.11929076009416129,-0.9214365661909376,-0.6237174211375471,-0.3016858121165349,-1.0119403196974623
-0.21703689412328941,-0.9111955719681291,-0.6017201833287231,-0.39932933837326345,-0.7372629618320055,-0.4159672267754395,-0.281592844844873,-0.7567959832586411,-0.6237533333830569,-0.1890693605492615
2.1201693140673115,2.2737159590248694,2.5879142955816334,-1.1832339515340848,0.6770451016769812,-0.28900577637090663,-0.2845485498375453,0.09124085683087912,0.34874185194492213,2.5321346465641668
-0.08191194001864943,0.938354667654167,1.6785518108546071,-0.3997443665237128,-0.14339123194412196,-0.9602246546102151,-1.2498580834800777,-2.5582379711013985,-0.6958320122461004,1.0386197112840634
0.3470362562769882,-1.5662784254481004,0.3913565790108553,-0.9856445004086272,0.9868613484497963,0.7244862519124151,-0.15352001232902346,0.1467413289869075,-0.19748807921874878,-0.17036250365890737
2.6420542424276086,-1.2541160066765968,0.2961163612979121,2.6356956942970093,1.2613975678817013,0.6546405864066926,1.2525091427298136,0.7881638213220086,2.4023724427362794,1.0604455070461754
3.4800842585955287,4.269714099960607,1.7029417152468032,3.2230707344915537,2.7814188970105924,2.516456219778,1.9384253473843227,3.6161703740187185,3.694475621686868,3.651117743228813
-2.562384719005429,-4.263705958924966,-0.9305666824030894,-2.5360738603253523,-1.4251425680183765,-0.5841115012685449,-0.8393903505276086,-5.597506156866345,-0.7414412892058628,-1.3411748348322945
3.9081770596304963,4.049854819344247,3.0527862605814455,3.5084854563513126,3.1804882697502883,3.315334974869252,4.119347134106242,3.6301875333630136,3.75803018776422,4.209715127739582
-0.40533271856694775,-0.8177818310659504,-0.3670093627419089,-0.6374312013373054,-0.7057812502834668,-0.0920676172668653,0.22477912370704978,-0.005010411761588784,-0.20952061910394448,-0.31494586937687785
2.5311090571434747,3.153958141971831,2.2343281852519716,3.1069320643349414,2.5595365568786725,2.533655348642778,2.79799316519642,2.663401868550256,3.2494273838569576,2.65032108300926
3.331109057143472,3.953958141971828,3.034328185251969,3.5305705841488795,3.235079886473013,3.284396499287105,3.597993165196417,3.082886115347417,3.79140493990435,3.450321083009257
-0.5948279558024527,-0.5691056799733509,-0.8850249791060918,-0.45700539596160183,-1.0618151003445124,-0.4660283170516131,-0.2619136141079341,0.021018746304120484,-0.16406983509245698,-0.5553198879677623
1.8731984189183066,-0.8138473356851179,0.15426590701017062,-3.3810446411242623,-1.3539621158881587,-2.4351882994350404,-0.7925343858002165,0.2979309997539161,-1.7506573736744144,1.805713798509636
-1.9296950262134764,-0.9839034097976374,-2.400026322683612,-1.8505296104874063,-2.2268753087286974,-2.1637275525042163,-1.6269185854169557,-2.3836201321406065,-1.4529278684787315,-1.721035511824084
-0.7434229913011539,-0.2821725578432357,-2.349770644631569,-1.319550287956968,-1.3813841807587188,-1.4960267582842377,-1.7279681212238884,-0.5096016047502019,-0.5515480940396102,-0.5395910064039313
